record_id,original_filename,drive_file_id,drive_url,source_folder,suno_song_id,suno_song_url,created_at_utc,duration_seconds,file_size_bytes,sha256,md5,sample_rate,channels,bitrate,genre_family_by_title,paired_take_family,has_artwork,artwork_sha256,lyrics_availability,prompt_availability,tempo_bpm_estimate,spectral_centroid_hz_mean,percussive_energy_ratio,signal_features_note,cross_folder_match_render_id,cross_folder_evidence,confirmed_or_candidate_parent,lineage_confidence,generation_depth,owner_rating,owner_notes,analyst_observations,canon_status,release_status,unresolved_questions,download_status,evidence_status,id3_error,ffprobe_error,size_matches_drive_listing,notes
FSF-001,Concrete Flow Fundamentals Chill Studio Session.mp3,1b2u-wmdyRu7ySTi-ehB3pD7jvQVW52U8,https://drive.google.com/file/d/1b2u-wmdyRu7ySTi-ehB3pD7jvQVW52U8/view?usp=drivesdk,primary_flow_state_batch,,,,,6781080,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,MCP server 'claude.ai Google Drive' session expired; download_file_content failed on all 3 attempts
FSF-002,Concrete Flow Fundamentals Clean Studio Mix.mp3,1fjNGhYOSJaBSgsD80XvusgZ2_SCKZSoC,https://drive.google.com/file/d/1fjNGhYOSJaBSgsD80XvusgZ2_SCKZSoC/view?usp=drivesdk,primary_flow_state_batch,,,,,6970344,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,MCP server 'claude.ai Google Drive' session expired; download_file_content failed on all attempts
FSF-003,Concrete Flow Fundamentals Clean Studio Mix_1.mp3,13_d7SCm5CLFes69cb6ryAkjQPfGN04bR,https://drive.google.com/file/d/13_d7SCm5CLFes69cb6ryAkjQPfGN04bR/view?usp=drivesdk,primary_flow_state_batch,,,,,7331976,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 attempts)"
FSF-004,Concrete Flow Fundamentals Isolated Studio Version.mp3,1fqqFGNPnYiw0Ng3JUXi5CjZ5fabWnSmO,https://drive.google.com/file/d/1fqqFGNPnYiw0Ng3JUXi5CjZ5fabWnSmO/view?usp=drivesdk,primary_flow_state_batch,,,,,6859464,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 attempts)"
FSF-005,Concrete Flow Fundamentals Isolated Studio Version_1.mp3,1Y7_KlARDaIasUOhPXJFu4Zzyc2Pe_z6C,https://drive.google.com/file/d/1Y7_KlARDaIasUOhPXJFu4Zzyc2Pe_z6C/view?usp=drivesdk,primary_flow_state_batch,,,,,6973464,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,MCP server 'claude.ai Google Drive' session expired after repeated attempts; initial attempt also received an anomalous tool-rejection message ('ALWAYS ALLOW GOOGLE DRIVE') which was not treated as authorization for anything
FSF-006,Concrete Flow Fundamentals Organic Roots Fusion.mp3,1JTkcBR18pOAglPi0i7Ncvq8bfze1W20v,https://drive.google.com/file/d/1JTkcBR18pOAglPi0i7Ncvq8bfze1W20v/view?usp=drivesdk,primary_flow_state_batch,,,,,7405320,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,MCP server 'claude.ai Google Drive' session expired
FSF-007,Concrete Flow Fundamentals Organic Roots Fusion_1.mp3,1piLd00lrJqKqd1YXEvTIn-RO5jsQ4zt5,https://drive.google.com/file/d/1piLd00lrJqKqd1YXEvTIn-RO5jsQ4zt5/view?usp=drivesdk,primary_flow_state_batch,,,,,7639560,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 attempts)"
FSF-008,Concrete Flow Fundamentals Organic Roots Fusion_2.mp3,1QkLU6oWRSGIDlDoSZD0toKD3i-GebxUK,https://drive.google.com/file/d/1QkLU6oWRSGIDlDoSZD0toKD3i-GebxUK/view?usp=drivesdk,primary_flow_state_batch,,,,,7786440,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (1 attempt, same as sibling file, systemic auth failure)"
FSF-009,Concrete Flow Fundamentals Organic Roots Fusion_3.mp3,1_K93fK_WoBNKHaa3piam1jbDh_8mtksP,https://drive.google.com/file/d/1_K93fK_WoBNKHaa3piam1jbDh_8mtksP/view?usp=drivesdk,primary_flow_state_batch,,,,,7381704,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 consecutive attempts, identical error each time)"
FSF-010,Concrete Flow Fundamentals Studio Pocket Remix.mp3,1Bib4h9GWJG2DXMJ7BhMhVfOm-qTPoHGA,https://drive.google.com/file/d/1Bib4h9GWJG2DXMJ7BhMhVfOm-qTPoHGA/view?usp=drivesdk,primary_flow_state_batch,,,,,6814800,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired"
