sibling_pair_id,drive_file_id_a,drive_file_id_b,title_a,title_b,created_at_utc_a,created_at_utc_b,delta_seconds,match_basis,confidence,evidence_status
FSF-SIB-001,1fjNGhYOSJaBSgsD80XvusgZ2_SCKZSoC,13_d7SCm5CLFes69cb6ryAkjQPfGN04bR,Concrete Flow Fundamentals Clean Studio Mix.mp3,Concrete Flow Fundamentals Clean Studio Mix_1.mp3,2026-08-07T00:14:50+00:00,2026-08-07T00:14:48+00:00,2.0,normalized_title_and_timestamp_within_threshold,medium,inferred
FSF-SIB-002,1fqqFGNPnYiw0Ng3JUXi5CjZ5fabWnSmO,1Y7_KlARDaIasUOhPXJFu4Zzyc2Pe_z6C,Concrete Flow Fundamentals Isolated Studio Version.mp3,Concrete Flow Fundamentals Isolated Studio Version_1.mp3,2026-08-07T00:27:25+00:00,2026-08-07T00:27:23+00:00,2.0,normalized_title_and_timestamp_within_threshold,medium,inferred
FSF-SIB-003,1JTkcBR18pOAglPi0i7Ncvq8bfze1W20v,1piLd00lrJqKqd1YXEvTIn-RO5jsQ4zt5,Concrete Flow Fundamentals Organic Roots Fusion.mp3,Concrete Flow Fundamentals Organic Roots Fusion_1.mp3,2026-08-07T00:11:52+00:00,2026-08-07T00:11:51+00:00,1.0,normalized_title_and_timestamp_within_threshold,medium,inferred
FSF-SIB-004,1QkLU6oWRSGIDlDoSZD0toKD3i-GebxUK,1_K93fK_WoBNKHaa3piam1jbDh_8mtksP,Concrete Flow Fundamentals Organic Roots Fusion_2.mp3,Concrete Flow Fundamentals Organic Roots Fusion_3.mp3,2026-08-07T00:08:28+00:00,2026-08-07T00:08:28+00:00,0.0,normalized_title_and_timestamp_within_threshold,high,inferred
FSF-SIB-005,1Bib4h9GWJG2DXMJ7BhMhVfOm-qTPoHGA,1TPpQotNBZ6l0EvA7JBj852qP0t--n2A0,Concrete Flow Fundamentals Studio Pocket Remix.mp3,Concrete Flow Fundamentals Studio Pocket Remix_1.mp3,2026-08-07T00:11:35+00:00,2026-08-07T00:11:35+00:00,0.0,normalized_title_and_timestamp_within_threshold,high,inferred
FSF-SIB-006,1-WJwhx1fIglRNnrYGwi8weINu-DLHMHw,19_JPCDuY4JsD31lGf4zZrR6-otQKkLBi,Flow State Fundamentals Playful Reggae Mix.mp3,Flow State Fundamentals Playful Reggae Mix_1.mp3,2026-08-07T00:00:31+00:00,2026-08-07T00:00:30+00:00,1.0,normalized_title_and_timestamp_within_threshold,medium,inferred
FSF-SIB-007,1YuurOYXgnT0IgdpmzbaovgPJsyCHfF2v,1XWP_oiDIjLrBHBW99f3obR-mxY6z4LrE,Flow State Fundamentals Reggaetón Fusion Experiment.mp3,Flow State Fundamentals Reggaetón Fusion Experiment_1.mp3,2026-08-07T00:05:31+00:00,2026-08-07T00:05:31+00:00,0.0,normalized_title_and_timestamp_within_threshold,high,inferred
FSF-SIB-008,16yEIWWzZ7wmptSzmtktvtti8LUbK7Npj,1HS26YVroFVmEDht0XSEtUOp3tdNgqQkN,Flow State Fundamentals Reggaetón Fusion Experiment_2.mp3,Flow State Fundamentals Reggaetón Fusion Experiment_3.mp3,2026-08-07T00:02:43+00:00,2026-08-07T00:02:42+00:00,1.0,normalized_title_and_timestamp_within_threshold,medium,inferred
FSF-SIB-009,18iCpw4JIlxTJsgxmICBhzxRp00jCuk4g,1KmQHygHC1TSRr4tnq7jIs0VM_wVlwMP6,Flow State Fundamentals Slow Burn Version.mp3,Flow State Fundamentals Slow Burn Version_1.mp3,2026-08-06T23:56:01+00:00,2026-08-06T23:56:00+00:00,1.0,normalized_title_and_timestamp_within_threshold,medium,inferred
FSF-SIB-010,1Zkm07XXEN7KjGrIikCTlUl5TTs0sYszx,17cGrqAv4tXvkITSLCzekv5z6iqfs4msH,Flow State Fundamentals.mp3,Flow State Fundamentals_1.mp3,2026-08-06T23:46:24+00:00,2026-08-06T23:46:23+00:00,1.0,normalized_title_and_timestamp_within_threshold,medium,inferred
