render_id,suno_song_id,title,original_filename,drive_file_id,drive_url,created_at_utc,duration_seconds,file_size_bytes,sha256,md5,sample_rate,channels,bitrate,duplicate_group_id,sibling_pair_id,lineage_id,inferred_parent_render_id,lineage_confidence,evidence_status,notes
REND-001,3e4967f8-3e82-4c86-a135-0a61bd8d80c7,Gypsy Traps,Gypsy Traps.mp3,1de897zDh2rdLUSIL798NCKIRjFobX43D,https://drive.google.com/file/d/1de897zDh2rdLUSIL798NCKIRjFobX43D/view?usp=drivesdk,2026-07-26T05:43:31.289176+00:00,190.919979,4276585,071fffdecb9078c0989c9007d8aa5d0e1dae3b1caf0df66c38c15f8dc145680a,c13c5d02ba3f0fc67c9f684fefe83885,48000,2,179199,,,,,,verified_from_id3_and_hash,
REND-002,c2a38e6f-5df2-4e02-958b-9de4455eb169,Gypsy Strings With The Trap,Gypsy Strings With The Trap (1).mp3,1-V4BvFyIzLH7OMV4CKgQR_wX3lEMn_MR,https://drive.google.com/file/d/1-V4BvFyIzLH7OMV4CKgQR_wX3lEMn_MR/view?usp=drivesdk,2026-07-28T23:36:20.804270+00:00,245.400979,5706889,38a908af8d2946916a235488c0ed3db0ac099a6fc66ab387b44a17752d84c4fb,27af009531e0e1575835e6f2cec5fd79,48000,2,186042,,SIB-001,,,,verified_from_id3_and_hash,
REND-003,b88c1628-4150-4143-a3f7-9fa504f81714,Gypsy Strings With The Trap,Gypsy Strings With The Trap.mp3,1pF6MjFRHY04yuwLZ8eHyET_8_0FlWkDd,https://drive.google.com/file/d/1pF6MjFRHY04yuwLZ8eHyET_8_0FlWkDd/view?usp=drivesdk,2026-07-28T23:36:20.804353+00:00,226.440979,5307205,6d02b049a4842566d017cb355155e8742b6f98fa6801d9c18562d102132dd755,0248657c1ba5f3ce0e56c99fee98ea4f,48000,2,187499,,SIB-001,,,,verified_from_id3_and_hash,
REND-004,9901fdc2-84e0-4d84-8274-ca06d93cc3b5,Velvet Shadows,Velvet Shadows.mp3,1M6M0vCAaas1kgSiIU1j44MfFYkJrU2xB,https://drive.google.com/file/d/1M6M0vCAaas1kgSiIU1j44MfFYkJrU2xB/view?usp=drivesdk,2026-07-29T01:51:43.902983+00:00,250.200979,5773910,2222890b17ebfb0ddf724d9464568548b034be07c0f5591acc3b1d362a1f5d4e,be05fc063283ac0bafae21ade36d6a5c,48000,2,184616,,,,,,verified_from_id3_and_hash,
REND-005,1e852cb5-711a-444d-8a36-7235377088b0,Mi Barrio / Golden Grid,Mi Barrio _ Golden Grid (1).mp3,1lXD-IDpqF9I4xkQTDg6IvWbQEYn4D5pq,https://drive.google.com/file/d/1lXD-IDpqF9I4xkQTDg6IvWbQEYn4D5pq/view?usp=drivesdk,2026-07-29T02:58:13.802736+00:00,177.080167,4139764,d68b88d1c785a1c4033158c28806a8e97adf464be97d51bc2045b1e6edde5259,455010f406812cd44e4fe3b36b1abd90,48000,2,187023,,,,,,verified_from_id3_and_hash,
REND-006,972f8ccb-5203-4e6e-953f-5817c67d60ee,Mi Barrio,Mi Barrio (1).mp3,1Frza0bL6gf_bRRBsrO9GieGyQrBFWIj7,https://drive.google.com/file/d/1Frza0bL6gf_bRRBsrO9GieGyQrBFWIj7/view?usp=drivesdk,2026-07-29T04:03:33.431375+00:00,192.160167,4543535,3dd631ed04acc34b9a8c2c947f102775c876280ff6321bdbfb33149b3bf68d62,735a774e6e9f98be18962ce051e14808,48000,2,189156,,SIB-002,,,,verified_from_id3_and_hash,
REND-007,8744aa8e-1ecf-4c73-b6ca-072497e1d437,Mi Barrio,Mi Barrio.mp3,1drCPuDhOAYmLq-yN7rZGTU-6uxQUxKuW,https://drive.google.com/file/d/1drCPuDhOAYmLq-yN7rZGTU-6uxQUxKuW/view?usp=drivesdk,2026-07-29T04:03:33.431451+00:00,195.840979,4725688,f4f220818a17b20c00ad13aa5c82331ab1fec90ef30ce01776270fbd47195a99,cfaf1924c8a3694f67f23e9b2ea1de6f,48000,2,193041,,SIB-002,,,,verified_from_id3_and_hash,
REND-008,56e4434b-9056-4899-b93f-6f96815a5c5b,Mi Barrio (Original),Mi Barrio (Original).mp3,1AelhPza8UboAPN5spA4hHoedCi1xLUQg,https://drive.google.com/file/d/1AelhPza8UboAPN5spA4hHoedCi1xLUQg/view?usp=drivesdk,2026-07-29T04:19:11.161726+00:00,91.000167,2212398,dd0c3c0881d75be15bcf2522253faad2e0da86bcd5298f6dda2dbc9d7f2b0fbc,69f089a7f246ffbf268b8bc9afe67bd9,48000,2,194496,,,LIN-001,REND-006,medium,verified_from_id3_and_hash,
REND-009,00fec157-83e9-48df-84bd-67e2f98bb17c,Real Madrid,Real Madrid (2).mp3,1afxLGZt07Vrhzrc1eqNdDGZQBKfafHmw,https://drive.google.com/file/d/1afxLGZt07Vrhzrc1eqNdDGZQBKfafHmw/view?usp=drivesdk,2026-07-29T04:34:12.489209+00:00,141.520167,3304867,e01c423933f44b505a976cb231d0a4b735d9e2598015469892e022ead42eada6,2eddfb786fc24663954cc01624633d1e,48000,2,186820,,,,,,verified_from_id3_and_hash,
REND-010,8eb6cdc6-7ce8-4902-82ba-bceb020e9835,Mi Barrio / Golden Grid,Mi Barrio _ Golden Grid.mp3,15BsGrY7BAVqxkCLKOS-unLwn1zBhh2rj,https://drive.google.com/file/d/15BsGrY7BAVqxkCLKOS-unLwn1zBhh2rj/view?usp=drivesdk,2026-07-29T04:34:12.489295+00:00,150.880167,3509436,e2b140b7417560acd020a0bf0b79b1117cfbcf266c0dfd94ad3e66f1e8f70f67,78f47b21eb501c80bddf8d21f3f2dea9,48000,2,186078,,,,,,verified_from_id3_and_hash,
